Force Input,Fx,Fy,Fz,Mx,My,Mz,Disturbance Force,Fx,Fy,Fz,Mx,My,Mz,Velocity,Lx,Ly,Lz,Ax,Ay,Az,Distance,front,left,right
,60.036856656760364,-45.463909517594125,-105.57954138811436,14.824034122662134,-23.38617973057085,23.230101876971602,,0.0,0.0,0.0,0.0,0.0,0.0,,0.156386071038724,-0.2830474469677638,0.0,0.0,0.0,0.3803819527946813,, 0.0762011, 0.271982, 0.36115
,60.036856656760364,-45.463909517594125,-105.57954138811436,14.824034122662134,-23.38617973057085,23.230101876971602,,0.0,0.0,0.0,0.0,0.0,0.0,,0.156386071038724,-0.2830474469677638,0.0,0.0,0.0,0.3803819527946813,, 0.0743325, 0.272727, 0.360544
,54.42146285157465,-39.05864879599706,-99.13572717149339,13.48829003102791,-22.48150710414888,26.88110399162434,,0.0,0.0,0.0,0.0,0.0,0.0,,0.196589783981116,-0.30654067741908037,0.0,0.0,0.0,0.3837965029892869,, 0.0743325, 0.272727, 0.360544
,54.42146285157465,-39.05864879599706,-99.13572717149339,13.48829003102791,-22.48150710414888,26.88110399162434,,0.0,0.0,0.0,0.0,0.0,0.0,,0.196589783981116,-0.30654067741908037,0.0,0.0,0.0,0.3837965029892869,, 0.0728624, 0.272947, 0.360471
,54.42146285157465,-39.05864879599706,-99.13572717149339,13.48829003102791,-22.48150710414888,26.88110399162434,,0.0,0.0,0.0,0.0,0.0,0.0,,0.196589783981116,-0.30654067741908037,0.0,0.0,0.0,0.3837965029892869,, 0.0728624, 0.272947, 0.360471
,46.3155518425209,-22.332892036798054,-85.48588714666064,10.416060658559848,-19.82608610780408,20.874213607400574,,0.0,0.0,0.0,0.0,0.0,0.0,,0.25443149441905577,-0.3331278396405965,0.0,0.0,0.0,0.39590418146069695,, 0.0728624, 0.272947, 0.360471
,46.3155518425209,-22.332892036798054,-85.48588714666064,10.416060658559848,-19.82608610780408,20.874213607400574,,0.0,0.0,0.0,0.0,0.0,0.0,,0.25443149441905577,-0.3331278396405965,0.0,0.0,0.0,0.39590418146069695,, 0.0714573, 0.272722, 0.360878
,14.504872143825564,-7.029491250135993,-67.3388344954397,6.804815668480975,-17.554656925671516,14.37692847451021,,0.0,0.0,0.0,0.0,0.0,0.0,,0.2815103827504993,-0.3348936711280398,0.0,0.0,0.0,0.3808769147504839,, 0.0714573, 0.272722, 0.360878
,14.504872143825564,-7.029491250135993,-67.3388344954397,6.804815668480975,-17.554656925671516,14.37692847451021,,0.0,0.0,0.0,0.0,0.0,0.0,,0.2815103827504993,-0.3348936711280398,0.0,0.0,0.0,0.3808769147504839,, 0.0714573, 0.272722, 0.360878
,14.504872143825564,-7.029491250135993,-67.3388344954397,6.804815668480975,-17.554656925671516,14.37692847451021,,0.0,0.0,0.0,0.0,0.0,0.0,,0.2815103827504993,-0.3348936711280398,0.0,0.0,0.0,0.3808769147504839,, 0.0699024, 0.271974, 0.361862
,14.504872143825564,-7.029491250135993,-67.3388344954397,6.804815668480975,-17.554656925671516,14.37692847451021,,0.0,0.0,0.0,0.0,0.0,0.0,,0.2815103827504993,-0.3348936711280398,0.0,0.0,0.0,0.3808769147504839,, 0.0699024, 0.271974, 0.361862
,14.504872143825564,-7.029491250135993,-67.3388344954397,6.804815668480975,-17.554656925671516,14.37692847451021,,0.0,0.0,0.0,0.0,0.0,0.0,,0.2815103827504993,-0.3348936711280398,0.0,0.0,0.0,0.3808769147504839,, 0.0699024, 0.271974, 0.361862
,-19.079767481123792,7.631285464042208,-56.75498730411541,1.6372262668657005,-16.66021327316525,9.423873573755522,,0.0,0.0,0.0,0.0,0.0,0.0,,0.27422167895631866,-0.32058745136825506,0.0,0.0,0.0,0.34927933477394074,, 0.0699024, 0.271974, 0.361862
,-19.079767481123792,7.631285464042208,-56.75498730411541,1.6372262668657005,-16.66021327316525,9.423873573755522,,0.0,0.0,0.0,0.0,0.0,0.0,,0.27422167895631866,-0.32058745136825506,0.0,0.0,0.0,0.34927933477394074,, 0.0699024, 0.271974, 0.361862
,-19.079767481123792,7.631285464042208,-56.75498730411541,1.6372262668657005,-16.66021327316525,9.423873573755522,,0.0,0.0,0.0,0.0,0.0,0.0,,0.27422167895631866,-0.32058745136825506,0.0,0.0,0.0,0.34927933477394074,, 0.0677941, 0.268645, 0.365661
,-19.079767481123792,7.631285464042208,-56.75498730411541,1.6372262668657005,-16.66021327316525,9.423873573755522,,0.0,0.0,0.0,0.0,0.0,0.0,,0.27422167895631866,-0.32058745136825506,0.0,0.0,0.0,0.34927933477394074,, 0.0677941, 0.268645, 0.365661
,-32.092699935634165,29.42035086019306,-56.614115994582306,-3.125294885061416,-16.60911764623659,-4.714489939654908,,0.0,0.0,0.0,0.0,0.0,0.0,,0.22400422107646986,-0.2816155755077499,0.0,0.0,0.0,0.2852621315266249,, 0.0677941, 0.268645, 0.365661
,-32.092699935634165,29.42035086019306,-56.614115994582306,-3.125294885061416,-16.60911764623659,-4.714489939654908,,0.0,0.0,0.0,0.0,0.0,0.0,,0.22400422107646986,-0.2816155755077499,0.0,0.0,0.0,0.2852621315266249,, 0.0666641, 0.265589, 0.368993
,-32.092699935634165,29.42035086019306,-56.614115994582306,-3.125294885061416,-16.60911764623659,-4.714489939654908,,0.0,0.0,0.0,0.0,0.0,0.0,,0.22400422107646986,-0.2816155755077499,0.0,0.0,0.0,0.2852621315266249,, 0.0666145, 0.265398, 0.369198
,-24.868556713900478,49.63631510539924,-66.95214347384585,-6.67960170233391,-17.98907876082083,-11.850850116808722,,0.0,0.0,0.0,0.0,0.0,0.0,,0.17548702589275317,-0.22415419057989205,0.0,0.0,0.0,0.20002539833838984,, 0.0666145, 0.265398, 0.369198
,-24.868556713900478,49.63631510539924,-66.95214347384585,-6.67960170233391,-17.98907876082083,-11.850850116808722,,0.0,0.0,0.0,0.0,0.0,0.0,,0.17548702589275317,-0.22415419057989205,0.0,0.0,0.0,0.20002539833838984,, 0.0666145, 0.265398, 0.369198
